text,emotionlist
I made provisions for a recently born nephew.,"[u'anticipation', u'joy', u'trust']"
I had my plan notarized by a notary republic.,"[u'anticipation', u'joy', u'trust']"
I refiled my plans in court.,"[u'anticipation', u'joy', u'trust']"
Liz moved into a new neighborhood and a new school for her kids.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
She did not know anyone and felt very lonely at times.,"[u'fear', u'sadness']"
She heard about a few opportunities to volunteer at school.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
She began to meet people and make friends.,[u'joy']
Now she encourages others to reach out and volunteer to get involved.,"[u'anticipation', u'joy', u'trust']"
Samantha had just went on many dates from online sites.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
"The first date was terrible, because the guy was very late.","[u'anger', u'surprise', u'sadness', u'anticipation', u'disgust']"
"The second date was just mediocre, and the guy was smelly.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Samantha got very frustrated and was ready to quit.,"[u'anger', u'sadness', u'fear', u'disgust']"
She deleted her account and unregistered.,"[u'anger', u'surprise', u'fear', u'sadness', u'disgust']"
Ray couldn't get an irritating tune out of his head.,"[u'anger', u'sadness', u'anticipation', u'disgust']"
"He tried to distract himself, but the melody kept repeating itself.",[u'anger']
"That night, he turned the radio on and got into bed to go to sleep.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The radio played song after song all night long as Ray slumbered.,"[u'anger', u'joy', u'disgust']"
"In the morning, Ray was relieved to have forgotten the annoying tune.","[u'joy', u'trust', u'surprise']"
Harvey had a mediocre employee whom he didn't really like.,"[u'anger', u'sadness', u'disgust']"
But he kept giving her feedback and second chances.,"[u'anticipation', u'joy', u'disgust', u'surprise', u'fear', u'trust']"
"One day, however, he discovered that she was stealing!","[u'anger', u'surprise', u'sadness', u'disgust']"
The employee was taking a roll of toilet paper home every night!,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
"Appalled, Harvey was happy to have a concrete reason to fire her.","[u'anger', u'joy', u'anticipation', u'disgust', u'surprise']"
Gina and her friend Lisa were looking for a job.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'surprise', u'fear']"
Neither of them had worked before.,"[u'trust', u'joy', u'fear', u'anticipation', u'sadness']"
They went all over downtown applying together.,"[u'anticipation', u'joy', u'fear', u'trust']"
Gina was sure they would each get hired.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Two weeks later neither of them had an interview.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
I walked into detention with an attitude.,"[u'anger', u'anticipation', u'disgust']"
The monitor laughed when he saw me.,"[u'anger', u'surprise', u'sadness', u'disgust', u'joy']"
He asked why I was there and who else was there because of me.,"[u'trust', u'joy', u'anticipation', u'surprise']"
I said nobody was there because of me.,"[u'anticipation', u'joy', u'disgust', u'anger', u'surprise', u'trust']"
"Just then, Bethany walked in and told him it was my fault she was there.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Nev needed a suit jacket for a fancy event.,"[u'trust', u'joy', u'fear', u'anticipation']"
He did not own one.,[]
He decided to borrow one from his dad.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'surprise', u'fear', u'trust']"
"He tried it on, thinking it would not fit.","[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
"But to his surprise, it fit perfectly fine!","[u'joy', u'surprise']"
There was a pond behind my dad's house.,"[u'trust', u'joy', u'anticipation', u'surprise']"
It is very peaceful there.,"[u'anticipation', u'joy', u'trust', u'surprise']"
I climbed a tree there once.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
Someone texted me then.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
I was about to fall asleep in a tree.,"[u'anticipation', u'surprise', u'fear', u'trust', u'joy']"
Tammy got in a bad car accident.,"[u'anger', u'surprise', u'fear', u'sadness', u'disgust']"
Thankfully nobody was injured but both cars involved are ruined.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The accident was Tammy's fault because she was texting while driving.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
She also got a ticket because of that as well.,"[u'sadness', u'disgust']"
Tammy told herself that she'll never text and drive again.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
I used to come to school early to run.,[]
We were not supposed to leave once we got there.,"[u'surprise', u'sadness', u'anticipation', u'fear']"
But my friend left his homework at home.,"[u'fear', u'anticipation', u'sadness']"
I gave him a ride.,"[u'anticipation', u'joy', u'sadness', u'anger', u'surprise', u'fear', u'trust']"
We told the coach he left something in my car.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Benedict had an extra two dollars in his pocket.,"[u'trust', u'joy', u'anticipation', u'surprise']"
He decided to buy a scratch off lottery ticket.,"[u'trust', u'joy', u'fear', u'anticipation']"
His lottery ticket turned out to be a five thousand dollar winner.,"[u'joy', u'surprise']"
Benedict donated half the money to charity.,"[u'anticipation', u'joy', u'trust', u'surprise']"
He felt very good about his decision.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Henry helped his mom decorate the house for Christmas.,"[u'anticipation', u'joy', u'trust', u'surprise']"
She was competing in a competition.,"[u'trust', u'joy', u'fear', u'anticipation']"
It was a neighborhood competition for best decorated house.,"[u'anticipation', u'joy', u'trust', u'surprise']"
My mom lost last year.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
But this year she won.,"[u'anticipation', u'joy', u'sadness', u'trust', u'surprise']"
Eric wanted to write and sell books online.,"[u'joy', u'fear', u'anticipation']"
But he wasn't a good writer.,"[u'anger', u'fear', u'anticipation', u'sadness', u'disgust']"
So he decided to take books on the public domain and sell them.,"[u'joy', u'fear', u'anticipation']"
And he ended up earning decent money.,"[u'joy', u'trust']"
But Eric was dissatisfied that never wrote on his own.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'fear', u'trust']"
Cayla wanted her hair cut.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'surprise', u'fear', u'trust']"
So she went and bought a brand new pair of scissors.,[u'anticipation']
She looked at pictures on the internet of many desired hairstyles.,"[u'joy', u'fear', u'anticipation']"
She decided on a haircut and began cutting her hair.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Cayla is now sporting a brand new haircut.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Someone had left a pair of binoculars on the park's bench.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
May happened upon the binoculars and sat on the bench to investigate.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
She looked through the binoculars and searched around for birds.,"[u'trust', u'joy', u'anticipation', u'surprise']"
"When she was finished, she returned the binoculars to the bench.","[u'anticipation', u'joy', u'trust', u'surprise']"
May went home satisfied that she had spotted some wildlife.,"[u'anticipation', u'joy', u'trust', u'surprise']"
I was weaned on beer.,"[u'joy', u'fear', u'sadness', u'disgust', u'surprise']"
My parents would let me have a sip when I delivered a new one.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
I drank a lot of beer in my younger days.,[u'joy']
Then it started where just one wheat beer gave a me a hangover.,[]
The doctor said I have celiac disease and had to give up beer.,"[u'surprise', u'sadness', u'anticipation', u'fear', u'disgust']"
Teddy had a passion.,"[u'anticipation', u'joy', u'trust']"
He had a passion to change his country for better.,"[u'anticipation', u'joy', u'fear', u'trust', u'sadness']"
So he ran for president.,"[u'anticipation', u'joy', u'trust']"
Teddy told the american people what they wanted to hear.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Teddy got elected and become the president.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Sara had always wanted to be a firefighter.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'fear', u'trust']"
She worked very hard to become one.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Her life as a firefighter was tough.,"[u'sadness', u'anticipation']"
"However, she loved her job.","[u'anticipation', u'joy', u'trust']"
Sara was glad she became a firefighter.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Our neighbor Tracy has a boy and a girl in elementary school.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Ava is 9 and Charles is 7.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Tracy said Charles is already having trouble concentrating.,"[u'trust', u'surprise', u'fear', u'anticipation', u'sadness']"
She said this always happens the first week of school.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
She said he will get better next week.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Bob was getting married this weekend.,"[u'trust', u'joy', u'fear', u'anticipation']"
He was nervous for the big day coming up.,"[u'anticipation', u'sadness', u'disgust', u'surprise', u'fear', u'trust']"
The night before he couldn't sleep.,"[u'fear', u'anticipation', u'sadness']"
He stayed up all night remembering his vows.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
On the day of his wedding he gave the most magnificent speech.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Anna was visiting Turkey.,"[u'trust', u'joy', u'anticipation']"
She flew into Ankara.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
"There, she saw the sights.","[u'trust', u'joy', u'anticipation', u'surprise']"
She loved the local flair and food.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Anna fell in love with Ankara!,"[u'trust', u'joy', u'anticipation', u'surprise']"
Fred's grandma from Italy came to visit.,"[u'anticipation', u'joy', u'trust', u'surprise']"
So Fred and his family went to an authentic Italian restaurant.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Everyone was enjoying their food.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
But Fred's grandma complained that the food wasn't authentic.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
And she spent several minutes arguing with the waitress.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Kate was at a club.,[]
She was having a good time and feeling relaxed.,"[u'anticipation', u'joy', u'trust', u'surprise']"
A guy she had been ignoring walked by showing the tattoo on his arm.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Without thinking Kate touched the tattoo and caught his attention.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
She was mortified when she realized what she had done.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Mia was trying to make sunny side up eggs.,"[u'anticipation', u'fear', u'trust', u'joy']"
But she accidentally cracked the yolks!,"[u'anger', u'surprise', u'sadness', u'anticipation']"
"She frowned, then had an idea.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
She flipped the eggs into a fluffy omelet.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Her breakfast was perfect after all!,"[u'anticipation', u'joy', u'trust', u'surprise']"
Sarah's goldfish died.,"[u'anger', u'surprise', u'sadness', u'disgust']"
She became really sad.,"[u'surprise', u'sadness', u'fear', u'disgust']"
Sarah went to the pet store to buy a new fish.,"[u'surprise', u'fear', u'anticipation', u'sadness']"
She bought a new goldfish similar to her old one.,"[u'anticipation', u'joy', u'sadness', u'trust', u'surprise']"
Sarah was happy that she was able to get a new pet.,"[u'joy', u'trust']"
Mango Wangtini was a bartender.,"[u'anticipation', u'joy', u'trust']"
He entertained customers with sick bartender tricks.,"[u'anticipation', u'joy', u'trust', u'surprise']"
One day someone asked him to pour a flaming drink while blindfolded.,"[u'anticipation', u'joy', u'trust', u'surprise']"
"Mango obliged, and began his routine.","[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Unfortunately Mango's bar burned down afterward.,"[u'anger', u'surprise', u'fear', u'sadness', u'disgust']"
Aya wanted to see the whole universe.,"[u'anticipation', u'joy', u'sadness', u'trust', u'surprise']"
She dreamed of flying through space exploring.,"[u'joy', u'anticipation']"
Her parents told her to be realistic.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'trust']"
But then Aya went to cosmonaut school!,"[u'trust', u'joy', u'sadness', u'anticipation', u'surprise']"
"Now, she lives her dream every day.","[u'anticipation', u'joy', u'trust']"
Sean had several errands to run.,[]
"First, he drove by the post office to check the mail.","[u'anticipation', u'joy', u'trust']"
"Then, he went to the grocery store for some food.","[u'anticipation', u'joy', u'sadness', u'anger', u'fear', u'trust']"
"Finally, he stopped by a retailer to buy some party decorations.","[u'anticipation', u'joy', u'trust']"
"When he was done, he went home.",[]
Mary was watching a movie.,"[u'anticipation', u'joy', u'sadness', u'anger', u'surprise', u'fear', u'trust']"
Her cat walked up to her foot.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Her cat scratched her right in the leg.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The scratch left a bloody mark.,"[u'anger', u'surprise', u'sadness', u'fear', u'disgust']"
Mary put a bandage on her leg.,"[u'anger', u'surprise', u'sadness']"
Bill practiced straightening his posture while waiting in line.,[]
He unconsciously moved up and down on his tip toes.,"[u'anticipation', u'joy', u'trust']"
"At the front, the amusement park attendant glared at him.","[u'anger', u'surprise', u'fear', u'sadness', u'disgust']"
She pointed at the sign.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Bill was too short to ride the roller coaster.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
The yearly family reunion for the Rollins family was very soon.,[]
Everybody always looked forward to the gathering.,"[u'anticipation', u'joy', u'fear', u'trust']"
They usually had the reunion in a park with lots of room.,"[u'trust', u'joy', u'anticipation', u'surprise']"
The weather was beautiful for the reunion.,"[u'trust', u'joy', u'anticipation', u'surprise']"
Everybody enjoyed catching up and spending time together.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Ralph decided he wanted fresh turkey for Thanksgiving dinner.,"[u'joy', u'anticipation']"
He bought a turkey and put it in his backyard.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
"The day before Thanksgiving, he went into the yard to kill the turkey.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
"The turkey fought Ralph, and broke his glasses.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Ralph's family had ham for Thanksgiving dinner.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
I had a fight with my girlfriend.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
I was so angry that I told her never to call me again.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
"After a few months, she decided to call me.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'trust']"
I missed her so much that I wasn't even mad.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
I am happy we are together again.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Jill wanted to make her daughter's birthday special.,"[u'trust', u'joy', u'anticipation', u'surprise']"
She decided to throw a big party.,"[u'trust', u'joy', u'anticipation']"
She got lots of food and decorations.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Jill even decided to hire a clown.,"[u'anticipation', u'joy', u'trust']"
The birthday party went well and Jill's daughter was thrilled.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Jack was starting a new job and decided to shop for new clothes.,"[u'anticipation', u'joy', u'fear', u'trust']"
He went to the mall and picked out clothes including a new tie.,"[u'anticipation', u'joy', u'trust']"
Jack wore the new tie on his first day of work.,"[u'trust', u'joy', u'anticipation']"
He overheard someone in the hallway say that his tie was ugly.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
"When he got home, Jack threw the new tie in the trash.","[u'anger', u'surprise', u'sadness', u'fear']"
Dave had entered a raffle at work this past weekend.,[]
The top prize was a week long trip to Japan.,"[u'trust', u'joy', u'anticipation', u'surprise']"
Dave had always wanted to go to Japan.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'trust']"
"The day of the drawing, Dave was very nervous.","[u'trust', u'surprise', u'fear', u'anticipation']"
"The winners were announced, and Dave had won the top prize!","[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Jill was overjoyed to have her very own apartment.,"[u'anticipation', u'joy', u'trust', u'surprise']"
"She had lived at home, then in a dorm, then with friends.","[u'trust', u'joy', u'anticipation', u'surprise']"
This was the first time she had a place all to herself.,"[u'joy', u'anticipation']"
She couldn't wait to give it her own personal touch.,"[u'joy', u'anticipation']"
Then it would really feel like home!,"[u'anticipation', u'joy', u'trust']"
Anna got the same lunch every day - bologna and carrots.,[u'trust']
She wished her family could afford more diverse meals.,"[u'sadness', u'disgust']"
Then she saw that some kids in her class couldn't afford lunch at all.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
This made Anna feel a lot better about her own situation.,"[u'joy', u'sadness', u'surprise']"
She was grateful now for her sandwich and vegetables.,"[u'joy', u'fear', u'trust', u'sadness', u'surprise']"
Jacob hated walking to school.,"[u'anger', u'fear', u'anticipation', u'sadness', u'disgust']"
All of his friends were able to drive to school with their cars.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Jacob got a part-time job after school.,"[u'trust', u'joy', u'anticipation', u'surprise']"
He worked hard to save up the money he earned from his job.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Jacob was able to buy himself a used truck after 5 months of saving.,"[u'joy', u'anticipation', u'surprise']"
"After the family set up the food, we all sat down.","[u'trust', u'joy', u'anticipation', u'surprise']"
My aunt gave a small prayer before we started to eat.,"[u'anticipation', u'joy', u'trust', u'surprise']"
I didn't get a good amount of food since the family was huge.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
I started to yell since the food was almost finished.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
"Instead of feeling bad, everyone was laughing.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Erin punched the wall.,"[u'anger', u'sadness', u'disgust']"
She made a hole the shape of her fist.,"[u'anger', u'surprise', u'disgust']"
She bought some putty to fix the hole.,"[u'anticipation', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
She fixed the hole.,"[u'anticipation', u'joy', u'trust', u'surprise']"
She worked on her anger management.,"[u'anticipation', u'joy', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
I was at home one day when I heard what sounded like a gunshot.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
"Fearful for my life, I quickly crouched down on the ground.","[u'surprise', u'fear', u'anticipation', u'sadness']"
I then heard a car speed around the street corner near my house.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
"When I thought all was safe, I got up and called the police.","[u'surprise', u'fear', u'anticipation', u'sadness']"
"When the police come over, they told me my neighbor had been shot.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Ken was tired of being laughed at for his lack of muscles.,"[u'anger', u'sadness', u'anticipation', u'fear', u'disgust']"
He took a membership at his nearest health club.,"[u'anticipation', u'joy', u'anger', u'trust']"
He showed up the next day with white skin and no muscles.,"[u'joy', u'fear', u'anticipation', u'disgust']"
"He worked a whole year, many hours a day.","[u'anger', u'joy', u'trust', u'anticipation']"
"When he went outside shirtless, no one laughed at him anymore.","[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
James needed to wash his truck.,"[u'surprise', u'fear', u'anticipation']"
It was covered in mud.,"[u'anger', u'surprise', u'sadness', u'trust', u'disgust']"
He decided to get it done at a charity instead of himself.,"[u'anticipation', u'joy', u'sadness', u'trust', u'disgust']"
The car washing girls charged him extra.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
James figured it was worth it.,"[u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'trust']"
Fred had been going out with Suzy for a long time.,"[u'anticipation', u'joy', u'fear', u'trust']"
He thought it was time to make it a relationship.,"[u'anticipation', u'joy', u'fear', u'trust']"
He pulled her aside after class and asked her.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
She said yes.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Fred was so happy that he went and told his friends.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Lebron James played basketball in Cleveland one day.,"[u'joy', u'anticipation']"
He decided to try to score fifty points in his game.,"[u'joy', u'anticipation']"
"In the first half, he scored twenty five points.",[]
"At the last second of the game, he took a shot.","[u'anticipation', u'fear', u'trust', u'joy']"
The shot went in and was his fiftieth point.,"[u'joy', u'trust']"
Jake was excited for the upcoming wrestling match.,"[u'anticipation', u'joy', u'trust']"
He set up his big screen tv in the backyard.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Jake invited all of his friends over.,"[u'trust', u'joy', u'anticipation', u'surprise']"
His friends brought food and drinks.,"[u'trust', u'joy', u'anticipation', u'surprise']"
They spent the rest of the night watching wrestling!,"[u'anticipation', u'joy', u'trust', u'surprise']"
"I met Eric in late 2004, again on the internet.","[u'joy', u'anticipation']"
He also lived in oklahoma.,[]
I drove there when he moved away from his wife.,[]
We moved in together and got married in 2011.,"[u'anticipation', u'joy', u'trust', u'surprise']"
We got divorced this year.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Liam needed a new computer.,"[u'surprise', u'fear', u'anticipation', u'sadness', u'joy']"
He had to decide between a Mac and a PC.,"[u'anger', u'surprise', u'fear', u'anticipation', u'sadness']"
He went to Bestbuy to check out the computers.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
They had a big sale on PCs.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Liam decided to go with a PC.,"[u'anticipation', u'joy', u'trust', u'surprise']"
One day I decided I wanted to become a professional baseball player.,"[u'anticipation', u'joy', u'trust']"
I joined a local baseball team so I could learn how to play baseball.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
I practiced baseball every day so I would get better.,"[u'anticipation', u'joy', u'trust']"
I ate healthy food and slept so I would get better at baseball.,"[u'trust', u'joy', u'anticipation', u'surprise']"
After all of my hard work I became a professional baseball player!,"[u'anticipation', u'joy', u'trust', u'surprise']"
"As a child, I always feared the monsters under my bed.","[u'anticipation', u'sadness', u'disgust', u'surprise', u'fear', u'trust']"
Now my children fear those same monsters under their own beds.,"[u'fear', u'anticipation', u'sadness', u'disgust']"
But today I solved the problem by destroying the monsters' homes.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
I installed a chest of drawers under each bed.,"[u'anticipation', u'joy', u'fear', u'trust']"
No one is afraid of a monster that lives in an underwear drawer.,[]
My wife buys six bananas at a time.,"[u'anticipation', u'joy', u'trust', u'surprise']"
She vows to eat them but never eats more than three.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'trust']"
The others get brown and dumped.,"[u'anger', u'sadness']"
Last week I bought a blender and made smoothies.,"[u'joy', u'sadness', u'trust', u'surprise']"
Now we use up all of the bananas.,"[u'joy', u'trust', u'surprise']"
Sue kept calling her dog but she was nowhere to be found.,"[u'surprise', u'fear', u'anticipation', u'sadness']"
She walked along the frozen creek calling the dog's name.,"[u'anticipation', u'surprise', u'fear', u'trust', u'sadness']"
"As she got further from the house, she heard a faint barking.","[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
The barking got clearer as she got closer to the creek.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The barking was coming from under the ice where her dog had fallen.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
A woman who was afraid of snakes saw one outside her house.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
She ran and grabbed some gas and coated the snake.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
She set the snake on fire and it slithered into a pile of dried leaves,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
"The leaves caught fire which set her house on fire, burnin it down.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
It was the funniest new article I've ever read!,"[u'anger', u'surprise', u'sadness', u'anticipation', u'disgust']"
Timmy wanted to become a painter.,"[u'anticipation', u'joy', u'fear', u'trust']"
He bought paint and brushes from the art store.,"[u'anticipation', u'joy', u'fear', u'trust']"
He started to draw paintings of still life.,"[u'anticipation', u'joy', u'trust']"
He eventually became good at painting.,"[u'anticipation', u'joy', u'trust', u'surprise']"
He sold his work for thousands of dollars.,"[u'trust', u'joy', u'anticipation', u'surprise']"
Freda wakes up early but decides to let her family sleep in.,"[u'anticipation', u'joy', u'trust']"
She puts on her running shoes and jogs around the block.,"[u'anticipation', u'joy', u'trust']"
Freda loves the feeling of a solo run in the early morning.,"[u'anticipation', u'joy', u'trust', u'surprise']"
She returns home and her family is still sleeping.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Freda feels happy she got up but allowed them to rest.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Farad likes to play practical jokes on his friends.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Farad entered a friends information into Tinder without them knowing.,"[u'anger', u'joy', u'anticipation', u'surprise']"
The friend was not happy.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Then the friend met someone through the website.,"[u'anticipation', u'joy', u'sadness', u'trust', u'surprise']"
Now the friend is getting married and Farad is in the wedding.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Kim's son was forever losing his eyeglasses.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
She had tried making him put them in their case.,[]
She bought straps to keep them on his neck.,"[u'anger', u'joy', u'fear', u'disgust']"
He was still losing the glasses though.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Kim finally bought a couple extra pairs so she had some waiting.,"[u'trust', u'surprise', u'anticipation', u'disgust', u'joy']"
Jerry felt his left foot turning numb.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He was hiking in the wilderness in the middle of winter.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
His left boot was leaking water.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
He quickly tapped his boot with duct tape.,"[u'anticipation', u'joy', u'sadness', u'anger', u'surprise', u'trust']"
Jerry's foot was able to stay dry for the rest of the trip.,"[u'joy', u'surprise']"
Chris had been wanting to change jobs for months.,"[u'joy', u'sadness', u'trust', u'surprise']"
He finally got the courage to quit his job.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'surprise', u'trust']"
He wasn't sure what he was going to do.,"[u'anticipation', u'fear', u'trust', u'surprise']"
He went on several interviews.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
He finally found his dream job.,"[u'trust', u'joy', u'anticipation', u'surprise']"
Cindy is very tired.,"[u'sadness', u'anticipation']"
Her children will not take a nap.,"[u'anger', u'joy', u'sadness', u'anticipation', u'disgust']"
Cindy decided to take the kids to the park.,"[u'anticipation', u'joy', u'sadness', u'anger', u'surprise', u'fear']"
